item_no,description,unit,qty_before,qty_after,delta,pct_change,conf_before,conf_after,source_before,source_after,change_category,change_reason
B03,Roof Cladding Sheet (corrugated / CGI),sheets,49,33,-16,n/a,MEDIUM,MEDIUM,"dxf_geometry (area/eaves run=2.51m, 3.0m stock)","dxf_geometry: roof_area=106.60 m², eaves_lm=42.40 m, rafter_",A,Ridge/barge derived from roof plan L×W (quadratic from DXF area+perim). Rafter run=W/2 for hip stock-length.
B04,Ridge Capping,lm,10.6,4.8,-5.8,-54.7%,MEDIUM,MEDIUM,dxf_geometry (perim×0.25 estimate),dxf_geometry: ridge_length=4.80 lm,A,Ridge/barge derived from roof plan L×W (quadratic from DXF area+perim). Rafter run=W/2 for hip stock-length.
B05,Ridge Cap Fixing Screws,nr,36,16.0,-20.0,-55.6%,MEDIUM,MEDIUM,dxf_geometry (perim×0.25 estimate),dxf_geometry: ridge_length=4.80 lm,A,Ridge/barge derived from roof plan L×W (quadratic from DXF area+perim). Rafter run=W/2 for hip stock-length.
B06,Ridge End Cap,nr,2,2.0,0.0,+0.0%,MEDIUM,MEDIUM,dxf_geometry,dxf_geometry: ridge_length=4.80 lm,A,Ridge/barge derived from roof plan L×W (quadratic from DXF area+perim). Rafter run=W/2 for hip stock-length.
B13-old,Barge Capping,lm,8.5,6.0,-2.5,-29.4%,LOW,MEDIUM,dxf_geometry (perim×0.20 estimate),dxf_geometry: downpipe_count=6,A,Ridge/barge derived from roof plan L×W (quadratic from DXF area+perim). Rafter run=W/2 for hip stock-length.
B14-old,Barge End Cap,nr,2,6.0,4.0,+200.0%,LOW,MEDIUM,dxf_geometry (perim×0.20 estimate),dxf_geometry: downpipe_count=6,A,Ridge/barge derived from roof plan L×W (quadratic from DXF area+perim). Rafter run=W/2 for hip stock-length.
